SituationID,Situation,SituationDescription,SituationQuotes
2958,"The Circle (Facial Recognition)","An elevator uses Mae's yearbook photo to recognise her.","They entered an elevator of glass, tinted faintly orange. Lights flickered on and Mae saw her name appear on the walls, along with her high school yearbook photo. WELCOME MAE HOLLAND. A sound, something like a gasp, left Mae’s throat. She hadn’t seen that photo in years, and had been happy for its absence. This must have been Annie’s doing, assaulting her with it again. The picture was indeed Mae—her wide mouth, her thin lips, her olive skin, her black hair, but in this photo, more so than in life, her high cheekbones gave her a look of severity, her brown eyes not smiling, only small and cold, ready for war. Since the photo—she was eighteen then, angry and unsure—Mae had gained much-needed weight, her face had softened and curves appeared, curves that brought the attention of men of myriad ages and motives. She’d tried, since high school, to be more open, more accepting, and seeing it here, this document of a long-ago era when she assumed the worst of the world, rattled her. Just when she couldn’t stand it anymore, the photo disappeared. “Yeah, everything’s on sensors,” Renata said. “The elevator reads your ID, and then says hello. Annie gave us that photo. You guys must be tight if she’s got high school pictures of you. Anyway, hope you don’t mind. We do that for visitors, mostly. They’re usually impressed.”
Dave Eggers, The Circle, pg. 7, loc. 103-113. Kindle Edition"
676,"The Circle (Killing Mercer)","Mae and the Circle demonstrate their new technology Soulsearch that can track down any individual using Circle surveillance cameras and community. They find Mercer and track/hunt him when he tries to escape the cameras. The situation escalates, and when a drone flies (is flown) in front of his car, he veers off the bridge and dies.",NA
2961,"The Circle (Mae accidentally broadcasts her parents having sex)","Mae goes home to visit her parents, finds them having sex and accidentally broadcasts it worldwide.","She ran up the stairs, taking them three at a time, and when she reached the top and turned left quickly, into their bedroom, she saw them, their eyes turned to her, round and terrified. Her father was sitting on the bed, and her mother was kneeling on the floor, his penis in her hand. A small container of moisturizer rested against his leg. In an instant they all knew the ramifications. Mae turned away, directing the camera toward a dresser. No one said a word. Mae could think only of retreating to the bathroom, where she pointed the camera at the wall and turned off the audio. She rewound her spool to see what had been caught on camera. She hoped the lens swinging from her neck had somehow missed the offending image. But it had not. If anything, the angle of the camera revealed the act more clearly than she’d witnessed it. 
Dave Eggers, The Circle, pg. 321, loc. 4909-4922. Kindle Edition
At her desk, she saw a pair of messages from her parents. They were still awake, and they were despondent. They were outraged. Mae tried to send them the positive zings she’d seen, messages that celebrated that an older couple, dealing with MS no less, could still be sexually active. But they weren’t interested. Please stop, they asked. Please, no more. And they, like Mercer, insisted that she cease to contact them unless privately. She tried to explain to them that they were on the wrong side of history. But they weren’t listening. 
Dave Eggers, The Circle, pg. 323, loc. 4946-4952. Kindle Edition"
2959,"The Circle (Mae goes transparent)","Mae ""goes transparent"", carrying a streaming camera around her neck all day every day.","She was apprised by Stewart that when thousands, or even millions, are watching, you perform your best self. You are cheerier, more positive, more polite, more generous, more inquisitive. But he had not told her of the smaller, improving alterations to her behavior. The first time the camera redirected her actions was when she went to the kitchen for something to eat. The image on her wrist showed the interior of the refrigerator as she scanned for a snack. Normally, she would have grabbed a chilled brownie, but seeing the image of her hand reaching for it, and seeing what everyone else would be seeing, she pulled back. She closed the fridge, and from the bowl on the counter, she selected a packet of almonds, and left the kitchen. Later that day, a headache appeared—caused, she thought, by eating less chocolate than usual. She reached into her bag, where she kept a few single-serving aspirin packets, but again, on her screen, she saw what everyone was seeing. She saw a hand searching her bag, clawing, and instantly she felt desperate and wretched, like some kind of pill-popping addict. She did without. Every day she’d done without things she didn’t want to want. Things she didn’t need. She’d given up soda, energy drinks, processed foods. At Circle social events, she nursed one drink only, and tried each time to leave it unfinished. Anything immoderate would provoke a flurry of zings of concern, so she stayed within the bounds of moderation. And she found it freeing. She was liberated from bad behavior. She was liberated from doing things she didn’t want to be doing, eating and drinking things that did her no good. Since she’d gone transparent, she’d become more noble. People called her a role model. Mothers said their daughters looked up to her, and this gave her more a feeling of responsibility, and that feeling of responsibility—to the Circlers, to their clients and partners, to the youth who saw inspiration in her—kept her grounded and fueled her days.
Dave Eggers, The Circle, pg. 286, loc. 4379-4393. Kindle Edition
 "
1650,"The Coded Gaze: Unmasking Algorithmic Bias (face detection failing)","Joy Buolamwini removes her white mask and the face detection is no longer able to detect her face, because it has been trained on images of faces that are unproportionally white. The machine fails to classify her face, hence discriminating persons of color. Buolamwini needs to trick the facial recognition application and the ML model it is using to be able to get a face detected.",NA
2423,"The Expanse (AR to retrace flight course)","Miller is at home scrolling through data he has collected that can tell him where he can find Julie. The data is presented as an AR/holographic interface.",NA
2908,"The Expanse (Cybernetic eye without connection)","In s1e7, Kenzo (consultant, spy, and stow-away on the Rocinante) tries to contact ""his people"" while on the ship, but his cybernetic eye doesn't have any connection. He appears to turn it off when others are nearby, because there's a slight change in his iris that might be detectable. Only when the ship lands at a large space station is Kenzo able to call for help.",NA
2422,"The Expanse (Naomi is recognised by the ship)","Naomi goes to the core and the system recognises her immediately and starts to tell (write to) her who she is, indicating access to some sort of database as well as some sort of scanning function or registering. The visuals of the scene briefly become like a fish-eye, indicating that there's a camera on the screen.",NA
2417,"The Expanse (Spaceship cameras scan and reveal)","The crew of the Rocinante have a lot of different things they can use the ship's camera systems for. Screens throughout the ship can access the same database network with live feeds from internal and external cameras. The pilot's screen is integrated with a system for scanning the space around the ship and navigating the ship safely. The software also allows for scanning the composition of biological lifeforms, interplanetary communication, and playing video games.",NA
2954,"The Final Cut (Protesters)","There is increasing disapproval of Eyetech's Zoe implants. Protesters line the street as mourners enter a Rememory, a memorial screening of an edited compilation of their life as seen through their Zoe implant. 
The protesters hold signs stating ""Live for today"", ""Open your eyes"", ""Remember for yourself"", ""Consent not control"". A mourning widow cries as she walks past them. A protester yells, ""You are blasphemous!"" at her, and she shouts, ""Why don't you people go home"", looking stricken. Earlier in the movie, it has been mentioned that the protesters believe that only God should see everything. Alan, the main cutter in the film, is also described by his lover as being ""like a priest"" (""You're like a mortician... or a priest... or a taxidermist. All of them."")
The widow is white and very well dressed. Overall, the people who order Rememories appear to be extremely wealthy. The crowd of protesters is diverse in apparent ethnicity and class. 
Some of the scene is presented through a wall of screens showing different surveillance camera views of the protesters. Nobody is shown actually viewing the screens (except the viewer of the movie) but there is a sense of cold distance implied by this view. 
(timestamp 0:23:39-0:24:30)",NA
2952,"The Final Cut (Suicide after discovering implant)","A girl who was ""a complete wreck"" finds out that she has a Zoe implant recording everything she does, and commits suicide in a way that will destroy the implant, so that no ""rememory"" video can be produced for her funeral. 
This is told as a story overheard when the main character (played by Robin Williams) walks into a room early in the movie.","Hasan : This girl was a complete wreck - drinking, drugs, in and out of schools. Then she turns 21... and she finds out about her Zoe implant. Complete 180. She's born again. Her knowing that someone would one day watch... transforms her into this kind, gentle, loving person.
Michael : So what happened?
Hasan : She committed suicide. Took a dive off her balcony... 27 floors straight onto her head. The implant was instantly vapourized.
(12:02-12:39 min)"
1463,"The Flower of Shazui (Augmented reality contact lenses)","The anonymous protagonist and Big Sister Shen equip Snow Lotus with ""augmented reality contact lenses"" and earbuds, as well as a remote controlled suit, in order to help her take revenge on her abusive husband East. Once she is back home, they can see what she sees, hear what she hears, and control her body movements.","My professional skills will finally come into use. I’ll arm Snow Lotus with wireless earbuds and augmented reality contact lenses. But the key will be a special black unitard. At first glance, it looks like regular long underwear, but specially designed fibers will deform and harden when electrically charged, resulting in precisely defined areas of tension and force, strong enough to stop a bullet.
;Big Sister Shen and I are seeing what Snow Lotus is seeing."
616,"The Flower of Shazui (Shaman predicts future)","The unnamed main person in the story visits Big Sister Shen, who is working as a shaman and she has been asked to check up on a person that is missing from his past. The person is described","“Please, tell me if he’s all right.” My face is full of tears even though I don’t remember crying. The wooden shaman mask glowers at me with its round eyeholes, orange light reflecting off the surface. The face is that of an angry goddess. Through the eyeholes I can see a strange glint in her eyes: blue sparkling flashes, very high in frequency. Suddenly I understand. The mask is nothing more than a fucking well-made disguise for a pair of augmented reality glasses. All this time, I’ve thought that Big Sister Shen is just a fraud pretending to be a medium and making her money by telling her clients what they want to hear. But she actually has real power. Guessing conservatively, her information privilege level must be set to at least level IIA or above, giving her the power to access an individual’s private file based on facial recognition."
318,"THE GOOGLE TRILOGY – 3.The Driver and the Cameras (Capturing the Driver)","11 maintainers/photographs catch by 360degree Google cameras when maintaining the machine vision. Found on Google Street View.",NA
956,"The Hunger Games (AR model of arena)","During the first and second movies, we see the game masters standing around a 3D augmented reality or holographic display of the arena in which the Hunger Games are taking place. The game masters can edit the actual area by using computers to alter the AR display. For instance, they add monsters or, in the second movie, make parts of the arena spin.",NA
957,"The Hunger Games (Holo)","In the last book (third movie), Mockingjay, the rebels have a device called a Holo that can project a 3D holographic model of the Capitol. Users can zoom in on streets, and can display ""pods"" (booby traps) nearby. Unlike the game masters' model of the Arena it can only be used for viewing, not for altering the city, and it is not completely up to date. Katniss's unit use it to navigate successfully through some pods, but it fails to inform them about one, and several people in the unit are killed. Later, Katniss uses the holo's self-destruct function when Finnick is being mauled by monsters and cannot be saved: she throws the holo so that Finnick and the monsters are blown up, thus saving the rest of the unit from the monsters, and putting Finnick's suffering to an end, much as she did with Cato at the end of the first Hunger Games.",NA
968,"The Hunger Games (Katniss Destroys Arena)","In the second book/movie, lightning strikes a tree at a regular time each day. Katniss shoots an arrow connected to a wire connected to the tree directly at the ""sky"" of the arena just as lightning strikes, and the electrical current shorts the entire system. She has already discovered that there are force fields surrounding the edges of the arena, and has learnt to recognize the tell-tale cracks. As she aims at the sky, we see the clouds swirl and it loses its verisimilitude, as a beehive pattern shows us the many sections of the huge forcefield. After the explosions, Katniss collapses, but is flown out of the arena by rebels and taken to safety. 
In the book, we stay with Katniss's first person perspective, but in the movie version of this situation, we cut from the explosion to see President Snow muttering, ""It's not possible"" in disbelief. The television screens he is looking at flicker out. He walks to the game masters who are seated around the holographic model of the arena and we see it shut down. Somebody says, ""We've lost power.""","So, do all force fields have a spot like that?” “Chink,” says Wiress vaguely. “In the armor, as it were,” finishes Beetee.
Collins, Suzanne. Catching Fire (Hunger Games Trilogy, Book 2) (p. 229). Scholastic Inc.. Kindle Edition.
;I squint hard up the hill and realize we’re only a few paces from the force field. There’s the telltale square, high up and to my right, just as it was this morning. What did Beetee do? Did he actually try to drive the knife into the force field the way Peeta did by accident? And what’s the deal with the wire? Was this his backup plan? If electrifying the water failed, did he mean to send the lightning bolt’s energy into the force field? What would that do, anyway? Nothing? A great deal? Fry us all? The force field must mostly be energy, too, I guess. The one in the Training Center was invisible. This one seems to somehow mirror the jungle. But I’ve seen it falter when Peeta’s knife struck it and when my arrows hit. The real world lies right behind it.
Collins, Suzanne. Catching Fire (Hunger Games Trilogy, Book 2) (p. 376). Scholastic Inc.. Kindle Edition.
;I finally see Beetee’s knife with clear eyes. My shaking hands slide the wire from the hilt, wind it around the arrow just above the feathers, and secure it with a knot picked up in training. I rise, turning to the force field, fully revealing myself but no longer caring. Only caring about where I should direct my tip, where Beetee would have driven the knife if he’d been able to choose. My bow tilts up at the wavering square, the flaw, the…what did he call it that day? The chink in the armor. I let the arrow fly, see it hit its mark and vanish, pulling the thread of gold behind it. My hair stands on end and the lightning strikes the tree. A flash of white runs up the wire, and for just a moment, the dome bursts into a dazzling blue light. I’m thrown backward to the ground, body useless, paralyzed, eyes frozen wide, as feathery bits of matter rain down on me.
Collins, Suzanne. Catching Fire (Hunger Games Trilogy, Book 2) (pp. 378-379). Scholastic Inc.. Kindle Edition."
963,"The Hunger Games (Night Vision Glasses for Harvesting)","When Rue sees Katniss has night vision glasses, she tells Katniss that they are used in District 11 so workers can harvest through the night, and that they are so highly valued a child was killed for playing with them.","When I spread out my gear, she gasps a little when she sees the sunglasses. “How did you get those?” she asks. “In my pack. They’ve been useless so far. They don’t block the sun and they make it harder to see,” I say with a shrug. “These aren’t for sun, they’re for darkness,” exclaims Rue. “Sometimes, when we harvest through the night, they’ll pass out a few pairs to those of us highest in the trees. Where the torchlight doesn’t reach. One time, this boy Martin, he tried to keep his pair. Hid it in his pants. They killed him on the spot.” “They killed a boy for taking these?” I say. “Yes, and everyone knew he was no danger. Martin wasn’t right in the head. I mean, he still acted like a three-year-old. He just wanted the glasses to play with,” says Rue.
Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 204). Scholastic Inc.. Kindle Edition."
964,"The Hunger Games (Night Vision Glasses in Daylight)","After blowing up the food that the Careers had stashed, Katniss is too weak and deafened by the blast to run, and hides in bushes all night, wearing her night vision glasses. When she wakes, she is confused because she can't see properly. She realises this is because of the glasses.","When I open my eyes, the world looks slightly fractured, and it takes a minute to realize that the sun must be well up and the glasses fragmenting my vision. As I sit up and remove them, I hear a laugh somewhere near the lake and freeze. The laugh’s distorted, but the fact that it registered at all means I must be regaining my hearing. Yes, my right ear can hear again, although it’s still ringing. As for my left ear, well, at least the bleeding has stopped. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 227). Scholastic Inc.. Kindle Edition."
959,"The Hunger Games (Night Vision Glasses in Games)","A few night vision glasses are in the Cornucopia at the start of the games. Katniss found a pair in the backpack she grabbed, but she thinks they are regular sunglasses that don't work well until Rue tells her they are night vision glasses and that the Careers also have them. The Careers use the glasses to hunt Katniss and Rue in the night. Katniss uses her glasses to evade the Careers.
The descriptions of the Careers using the glasses portray them as inept, ""tromping"" (p. 229) with their ""heavy, branch-breaking bodies"" (p 248). The night vision glasses give them an unfair advantage, perhaps? Whereas Katniss feels ""relaxed"" and does not use hers to hunt, only to hide and augment her senses after an explosion has made her temporarily deaf.","In the seal’s light, I can see Cato and the girl from District 2 put on their night-vision glasses. The boy from District 1 ignites a tree branch for a torch, illuminating the grim determination on all their faces. The Careers stride back into the woods to hunt. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 225). Scholastic Inc.. Kindle Edition.
;The first thing I do is dig out my own glasses and put them on, which relaxes me a little, to have at least one of my hunter’s senses working. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 225-226). Scholastic Inc.. Kindle Edition.
;There’s no sign of Rue, not on the ground or in the trees. This is odd. By now she should have returned, as it’s midday. Undoubtedly, she spent the night in a tree somewhere. What else could she do with no light and the Careers with their night-vision glasses tromping around the woods. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 229). Scholastic Inc.. Kindle Edition.
;Let them come with their night-vision glasses and their heavy, branch-breaking bodies. Right into the range of my arrows. But I know they won’t. If they didn’t come in daylight to my fire, they won’t risk what could be another trap at night. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 248-249). Scholastic Inc.. Kindle Edition.
;“Let’s try out these glasses.” I pull out the glasses and slip them on. Rue wasn’t kidding. I can see everything from the leaves on the trees to a skunk strolling through the bushes a good fifty feet away. I could kill it from here if I had a mind to. I could kill anyone. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 206). Scholastic Inc.. Kindle Edition."
967,"The Hunger Games (Peeta's Camouflage)","Peeta is an expert cake decorator, a skill that annoys Katniss, but that saves his life when he is badly wounded and camouflages himself, using mud and plants as body paint so his face and body are indistinguishable from the surroundings. This situation relates to visibility and evasion, but doesn't explicitly involve machine vision, although one can imagine the surveillance cameras being fooled by the camouflage.","I look more critically at the design on Peeta’s arm. The alternating pattern of light and dark suggests sunlight falling through the leaves in the woods. I wonder how he knows this, since I doubt he’s ever been beyond the fence. Has he been able to pick this up from just that scraggly old apple tree in his backyard? Somehow the whole thing—his skill, those inaccessible cakes, the praise of the camouflage expert—annoys me. “It’s lovely. If only you could frost someone to death,” I say. “Don’t be so superior. You can never tell what you’ll find in the arena. Say it’s actually a gigantic cake—” begins Peeta. Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 96). Scholastic Inc.. Kindle Edition.
;“Peeta?” I whisper. “Where are you?” There’s no answer. Could I just have imagined it? No, I’m certain it was real and very close at hand, too. “Peeta?” I creep along the bank. “Well, don’t step on me.” I jump back. His voice was right under my feet. Still there’s nothing. Then his eyes open, unmistakably blue in the brown mud and green leaves. I gasp and am rewarded with a hint of white teeth as he laughs. It’s the final word in camouflage. Forget chucking weights around. Peeta should have gone into his private session with the Gamemakers and painted himself into a tree. Or a boulder. Or a muddy bank full of weeds. “Close your eyes again,” I order. He does, and his mouth, too, and completely disappears. Most of what I judge to be his body is actually under a layer of mud and plants. His face and arms are so artfully disguised as to be invisible. I kneel beside him. “I guess all those hours decorating cakes paid off.” Peeta smiles. “Yes, frosting. The final defense of the dying.” Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 252-253). Scholastic Inc.. Kindle Edition."
961,"The Hunger Games (Ubiquitous surveillance)","Although cameras are never seen, they are everywhere in the arena of the Hunger Games, and there are many in the Capitol as well. In the arena, Katniss knows she is constantly being filmed and watched both by the game masters and President Snow and by the television audience in the Capitol and the Districts. Katniss chooses certain actions based on this knowledge - kissing Peeta to make the sponsors more likely to give them medicine, or editing the story of how she bought Prim's goat so as not to reveal information that might get her friends in trouble.","While I’ve been concealed by darkness and the sleeping bag and the willow branches, it has probably been difficult for the cameras to get a good shot of me. I know they must be tracking me now though. The minute I hit the ground, I’m guaranteed a close-up. The audience will have been beside themselves, knowing I was in the tree, that I overheard the Careers talking, that I discovered Peeta was with them. Until I work out exactly how I want to play that, I’d better at least act on top of things. Not perplexed. Certainly not confused or frightened. No, I need to look one step ahead of the game. So as I slide out of the foliage and into the dawn light, I pause a second, giving the cameras time to lock on me. Then I cock my head slightly to the side and give a knowing smile. There! Let them figure out what that means!
Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 163-164). Scholastic Inc.. Kindle Edition.
;I want to do something, right here, right now, to shame them, to make them accountable, to show the Capitol that whatever they do or force us to do there is a part of every tribute they can’t own. That Rue was more than a piece in their Games. And so am I. A few steps into the woods grows a bank of wildflowers. Perhaps they are really weeds of some sort, but they have blossoms in beautiful shades of violet and yellow and white. I gather up an armful and come back to Rue’s side. Slowly, one stem at a time, I decorate her body in the flowers. Covering the ugly wound. Wreathing her face. Weaving her hair with bright colors. They’ll have to show it. Or, even if they choose to turn the cameras elsewhere at this moment, they’ll have to bring them back when they collect the bodies and everyone will see her then and know I did it. I step back and take a last look at Rue. She could really be asleep in that meadow after all. “Bye, Rue,” I whisper. I press the three middle fingers of my left hand against my lips and hold them out in her direction. Then I walk away without looking back.
Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 236-237). Scholastic Inc.. Kindle Edition.
;Yes, they have to have a victor. Without a victor, the whole thing would blow up in the Gamemakers’ faces. They’d have failed the Capitol. Might possibly even be executed, slowly and painfully while the cameras broadcast it to every screen in the country.
Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (p. 344). Scholastic Inc.. Kindle Edition.
;Haymitch startles me when he lays a hand on my back. Even now, in the middle of nowhere, he keeps his voice down. “Great job, you two. Just keep it up in the district until the cameras are gone. We should be okay.” I watch him head back to the train, avoiding Peeta’s eyes.
Collins, Suzanne. The Hunger Games (Hunger Games Trilogy, Book 1) (pp. 371-372). Scholastic Inc.. Kindle Edition.
;nod. “We need to get out of here. Now. We just set off a streetful of pods. You can bet they’ve got us on surveillance tapes.” “Count on it,” says Castor. “All the streets are covered by surveillance cameras. I bet they set off the black wave manually when they saw us taping the propo.”
Collins, Suzanne. Mockingjay (Hunger Games Trilogy, Book 3) (p. 279). Scholastic Inc.. Kindle Edition.
;Most important, he has knowledge of the cameras. There aren’t many down in this gloomy, misty place, except in the Transfer. But we keep well out of their way.
Collins, Suzanne. Mockingjay (Hunger Games Trilogy, Book 3) (p. 298). Scholastic Inc.. Kindle Edition.
;flesh. Jumping to my death’s not an option—the window glass must be a foot thick. I can make an excellent noose, but there’s nothing to hang myself from. It’s possible I could hoard my pills and then knock myself off with a lethal dose, except that I’m sure I’m being watched round the clock. For all I know, I’m on live television at this very moment while commentators try to analyze what could possibly have motivated me to kill Coin. The surveillance makes almost any suicide attempt impossible. Taking my life is the Capitol’s privilege. Again.
Collins, Suzanne. Mockingjay (Hunger Games Trilogy, Book 3) (p. 373). Scholastic Inc.. Kindle Edition."
2542,"The Invisible Man (CCTV surveillance footage)","In typical crime-story fashion the movie cuts to CCTV footage which we expect will be used laster as evidence or some other plot device.",NA
2541,"The Invisible Man (Cecilia Paints Webcam)","Afraid that her abusive ex-partner can surveil her through her webcam, Cecilia paints it dark with tip-ex.",NA
2543,"The Invisible Man (Violent use of Invisibility)","A centrepiece of the movie is Adrian's use of invisibility to commit violent actions (murder, etc.) and make it look as though Cecilia did it. Moreover he makes others and Cecilia herself question Cecilia's sanity (gaslighting). The invisibility suit functions by being covered by thousands of small cameras/LEDs. In effect, the invisibility is a function of manipulated vision. The cameras are motorized, shown when the suit powers down, and the panels with the cameras seem to take in and project light/picture, to create the illusion of invisibility. This is supported by the fact that the body in the suit has no shadow.",NA
2493,"The Last Human (XR_935 analysing face)","XRS_935 is rescuing Emma from a locked container. Him and his robot friends are opening the door and Emma pops her head through the door. She looks down with wide open eyes and the robot analyses her face to understand what she is feeling.","Hun så ned med vidåpne øyne. Jeg analyserte ansiktstrekkene hennes. Utrykket hennes var ein merkelig blanding av lettelse og frykt. Lettelse fordi: Hun var ikke lenger fanget inne i containeren. Frykt fordi: Containeren var høyt over bakken, og den steg høyere for hvert millisekund som gikk. "
2468,"The Last Human (XR_935 finds a human)","Humans has been extinct for a long time, but at work XR_935 finds a human and the robot`s system is struggling to analyse his finding.","Menneskene var utryddet. Vi eliminerte den siste av denne art for tretti år siden. Denne grunnleggende sannheten var prentet i programvaren min flettet inn i kodingen min.
Det var ingen mennesker igjen på jorden.
Men hvis dette ikke var et menneske. Hva var det da?
Jeg inspiserte den merkelige LivsFormen nøye. Den var liten etter menneskelig målestokk. Når den sto, var toppen av hodet på høyde med strekkoden på brsytplaten min.
Jeg analyserte trekkene.
Hår: brunt/krøllete, henger ned til skuldrene
Øyne: brune/grønnne, stirrer tilbake på meg.
Kinn: overstrødd med ein konstellasjon av fregner.
Hver av hendene kom utstyrt med fire fingre og en tommel.
Da jeg studerte fingerneglene, glimtet et minne i lagringsdisken min. Noe jeg lærte på Dag(1): menneskene filte og dekorerte neglene sine med maling.
Men ikkje denne LivsFormen.
Fingerneglene var korte/ujvene/skitne.
De så ut som om de hadde blitt gnagd på av et vilt dyr.
Jeg brukte denne oberservasjonen til å generere ein slutning.
Denne LivsFormen dekorerer ikke fingerneglene sine.
Derfor:
Den er ikke forfjengelig.
Derfor:
Den kan ikke vere et menneske.
Men hvorfor hadde den på seg menneskekær?
Og hvorfor hadde den menneskelige trekk?
Hjernen min kjørte opp et titall forskjellige algoritmer. Ingen av dem kom opp med et klart svar.
Tingen foran meg var et paradoks.
To motstridende ideer som var sanne samtidig.
(1) Menneskene er utryddet.
(2) Det står et menneske foran meg. 
p. 52-43"
2465,"The Last Human (XR_935 is recognising)","XR_935 is turned on and is calibrating and learning every function. The robot opens the door to the outside and is in awe of everything and recognises animals.","""I den andre retningen: en treklynge. Blikket mitt ble hengende ved et glimt av bevegelse i grenene. Et grått/brunt dyr med buskete hale. Navnet blinket gjennom harddisken min. Ekorn. Det smatt op en gren og løp i sikksakk mellom flekker av grønt løv.
Fra toppen av nabotreet skjøt et titall bevingede dyr opp i luften. Fugler. Jeg så dem kretse der oppe på himmelen."" p. 19"
1928,"The Last One (drone)","Production is showing Zoo and other contenstants a drone that circuits them and then flies into the air. ","The drone zips silently up into the sky. After only a few seconds it’s far enough, quiet enough, to be nearly invisible.
“Where did it go?” whispers Waitress. By the time she finishes the question Tracker is the only one who can still distinguish the drone from clouds and sky.
“One of the many eyes that will be watching you,” the host informs the group. His voice is rich with implication, though the truth is there’s only the one drone and since the contestants will be under tree cover most of the time, it’s being used primarily for establishing shots."
1929,"The Last One (Reality Show)","Zoo and other contenstants are in a staged survival reality show and are being filmed and manipulated by the crew to give certain responses and angles. Backgrounds are blurred out to give illusion of pure wilderness, reactions are taken out of context. They are filmed at every second of the day in this part of the novel and they are editing together a scenario. 
They are also discussed by a reddit like forum outside of the reality show scenario. ","“Rancher. They don’t finish in time and Waitress flips her shit when they see the”—air quotes—“ ‘body.’ She’s crying and hyperventilating—and Zoo snaps.”
The editor shifts nervously in his seat. “Did she quit?” he asks. Disappointment warms his face. He was looking forward to editing her victory, or, more likely, her graceful defeat in the endgame. Because he doesn’t know how she could possibly overcome Tracker; Air Force has his tweaked ankle working against him, but Tracker is so steady, so knowledgeable, so strong, that he seems destined to win. It is the editor’s job to make Tracker’s victory seem a little less inevitable, and he was planning to use Zoo as his primary tool in this. He enjoys editing the two of them together, creating art from contrast.
“No, she didn’t quit,” says the producer. He claps the shoulder of the editor. “But she was mean.”
 
;In the Dark—Why sign up for this?
Two episodes in and I have to ask—why would anyone go on this show?
submitted 31 days ago by HeftyTurtle
283 comments
top comments
sorted by: oldest
[-] NotFunnyWinger 31 days ago
Million bucks to the winner. $250,000 to second and $100,000 to third. What other incentive do you need?
[-] MachOneMama 31 days ago
Don’t forget fan favorite! Another quarter million there. I’m voting for the carpenter. She’s the only woman who’s not useless and/or annoying.
[-] MuffinHoarder99 31 days ago
Preach-er! Preach-er! (For the hair alone.)
[-] MachOneMama 31 days ago
Are you kidding? Someone needs to punch him in the balls, stat.
[-] HeftyTurtle 31 days ago
Agreed. Mactress aimed too high.
[-] BeanCounterQ 31 days ago
Keep an eye on Albert. I know him from college and he’ll surprise you. Smart guy. Good guy.
;The cameraman edges closer and the anchor tilts her microphone toward the woman’s face. But the woman has no confession and these obstructions, these devices sucking in her breath, her image, these are all things that are no longer real. Her hard green gaze slides past the lens to the man behind it. “Get the camera out of my face,” she says. “Now.”"
268,"The Machine Stops (Vashti sees Kuni)","This work is well known for its early depiction of a video conferencing system, whereby a verisimilitude of a face is presented to the interlocutor as a face on a blue plate: ""Then she touched the lighting apparatus, and the little room was plunged into darkness. “Be quick!” she called, her irritation returning. “Be quick, Kuno; here I am in the dark wasting my time.” But it was fully fifteen seconds before the round plate that she held in her hands began to glow. A faint blue light shot across it, darkening to purple, and presently she could see the image of her son, who lived on the other side of the earth, and he could see her. Later, ""He refused to visualize his face upon the blue plate""",NA
2809,"The Mandalorian (Holographic threats)","After acquiring the location data of Moff Gideon's ship, the Mandalorian sends a hologram threatening Gideon. The hologram is almost a direct copy of Gideon's earlier speech to the Mandalorian (Gideon says ""Soon, it will be mine, it means more to me than you will ever know"" and the Mandalorian says """"Soon, he will be mine. He means more to me than you will ever know"").",NA
2807,"The Mandalorian (Reluctant facial recognition to steal data)","The Mandalorian needs an Imperial-soldier-turned-prisoner, Migs Mayfeld, to acquire coordinates to villain Moff Gideon's ship. Mayfeld takes them to a hidden Imperial base and has the Mandalorian join because Mayfeld is easily recognized by Imperial security. The terminal where they will steal the coordinates is in the officer's mess hall. Mayfeld sees his former commanding officer, Valin Hess, so the Mandalorian goes in alone to make sure Mayfeld isn't recognized. The terminal requires a facial recognition scan, which forces the Mandalorian to remove his helmet (something he can't do in front of others according to the Creed). The Mandalorian is confronted by Hess, but Mayfeld intervenes and after an angry chat, Mayfeld kills Hess and forces them both to run.
Note: It's strange that the facial recognition system gives access to the Mandalorian since he's never served in the Imperial army, but the main point for the show is that he's not flagged as not having access.","""Error. Error. Facial scan incomplete. Ten seconds to system shutdown."""
2132,"The Martian (Helmet Camera)","A view from a camera placed on the astronauts helmets (Also referred as ""suit-cam""), showing suit data such as; pressure, oxygen and temperature. As well as viewing the point of view from the astronauts perspective.",NA
2147,"The Martian (Pathfinder camera)","The Pathfinder is a rover found on Mars by Matt Watney which he uses to communicate with the NASA crew on Earth through the use of a camera placed on top of the rover. It's a key component in the communication transaction in which the NASA crew has the ability to see through the camera and use that to send messages and further instructions for Matt.",NA
